IMAGE F Q FRC E QS
14092.jpg 0.0328625 0.0379334 -0.0407616 -0.00749746 0.475934 
141012.jpg 0.195738 0.179131 0.28517 0.332914 0.744292 
141048.jpg 0.168935 0.187215 0.227623 0.184946 0.615726 
143090.jpg 0.2198 0.200363 -0.0446733 0.224089 0.859533 
144067.jpg 0.286019 0.303881 0.309446 0.280483 0.730372 
145014.jpg 0.137292 0.177533 0.251294 0.167779 0.86346 
145053.jpg 0.21693 0.178925 0.202275 0.250182 0.728463 
145059.jpg 0.25275 0.25624 0.209473 0.256557 0.761912 
145079.jpg 0.167237 0.184383 0.178558 0.185199 0.773984 
145086.jpg 0.082151 0.100104 0.0876707 -0.00766444 0.450868 
146074.jpg 0.176081 -0.245667 0.240656 0.204735 0.62141 
147021.jpg 0.179153 0.113077 0.0774698 0.286681 0.78854 
147062.jpg 0.206998 0.22173 -0.0597043 0.223364 0.796095 
147077.jpg 0.186613 0.154316 0.154615 0.234343 0.963185 
147080.jpg 0.209644 0.175053 0.157345 0.221095 0.869309 
147091.jpg 0.266944 0.262657 -0.227143 0.280219 0.741239 
148026.jpg 0.119505 -0.23722 0.219905 0.152109 0.578783 
148089.jpg -0.0677646 -0.0662682 -0.0681524 -0.0328272 0.976043 
15004.jpg 0.162054 0.165151 0.14191 0.173414 0.582732 
15011.jpg 0.148321 0.0107758 0.0190883 0.16481 0.492994 
15062.jpg 0.101441 -0.0810471 0.106292 0.106456 0.570889 
15088.jpg 0.225184 0.222894 0.220513 0.189446 0.723571 
151087.jpg 0.308707 -0.162466 0.305494 0.328315 0.730621 
153077.jpg 0.153472 0.180112 -0.174007 0.136072 0.780987 
153093.jpg 0.11679 0.117876 0.0257407 0.119271 0.650763 
155060.jpg 0.123832 0.0799072 -0.111546 0.136651 0.631292 
156054.jpg 0.165512 0.086425 0.055299 0.204915 0.563596 
156065.jpg 0.250183 -0.12047 0.196278 0.231716 0.486721 
156079.jpg 0.293233 0.297932 -0.0325459 0.301359 0.747028 
157032.jpg -0.169044 -0.166398 -0.128839 -0.166329 0.989403 
157036.jpg -0.314151 -0.23228 -0.308065 -0.332495 0.507399 
157055.jpg 0.0250786 -0.0905645 0.155708 0.0142084 0.574521 
157087.jpg -0.00187481 0.0466837 -0.0753031 -0.0159199 0.598278 
159002.jpg 0.0704066 0.0807752 -0.0676658 0.0395733 0.522838 
159008.jpg 0.170568 0.191715 -0.194351 0.167265 0.698314 
159022.jpg -0.0411023 -0.0488004 0.0670936 -0.0462119 0.580392 
159029.jpg -0.133384 -0.129915 -0.13465 -0.13449 0.797105 
159045.jpg 0.0918338 0.020208 0.122109 0.123832 0.56461 
159091.jpg 0.167773 0.162426 -0.109884 -0.175015 0.858936 
160006.jpg 0.170398 0.168248 -0.123484 0.157228 0.945214 
16004.jpg 0.248497 0.25506 0.273236 0.260467 0.86005 
160067.jpg 0.0236612 0.0269782 -0.0040272 0.0145001 0.698581 
160068.jpg 0.00413502 -0.004768 -0.0179643 -0.0198222 0.743486 
16052.jpg 0.159499 0.161126 0.267627 0.217284 0.613215 
16068.jpg -0.00424103 -0.00567228 -0.00790476 -0.000920054 0.855299 
16077.jpg 0.156961 0.157502 0.125699 0.151749 0.914985 
161045.jpg 0.0768999 0.0781536 0.0782102 0.0777127 0.813396 
161062.jpg -0.404342 -0.41297 -0.402117 0.422319 0.750125 
163004.jpg 0.0689298 0.0705386 -0.0204646 0.0752151 0.824632 
163014.jpg 0.111223 0.117264 0.112047 0.0702873 0.787517 
163062.jpg 0.263561 0.261537 -0.0161649 0.259079 0.816362 
163085.jpg 0.171302 0.174894 -0.189384 0.189616 0.782717 
163096.jpg 0.282156 0.286965 0.269316 0.25529 0.628832 
164046.jpg 0.119743 0.125596 0.127556 0.118337 0.722048 
164074.jpg -0.0380603 -0.0343178 0.0959323 0.0154009 0.459321 
166081.jpg 0.24683 -0.253521 0.15811 0.26366 0.45659 
167062.jpg 0.365354 -0.416508 -0.426986 0.418136 0.55799 
167083.jpg -0.0337295 -0.0331715 -0.0333204 -0.0337425 0.920932 
168084.jpg 0.282914 0.284036 0.28552 0.284343 0.848932 
169012.jpg 0.264927 0.0864201 0.319721 0.320425 0.552562 
170054.jpg 0.0686941 0.0204924 0.213881 0.144935 0.593896 
170057.jpg 0.0222196 0.0204066 -0.0303209 0.0255537 0.751136 
17067.jpg -0.0748531 -0.0677339 0.113028 -0.119522 0.548956 
172032.jpg -0.168398 -0.139807 0.0441433 -0.176239 0.745579 
173036.jpg -0.0285897 -0.0255763 -0.0108662 -0.0372168 0.507212 
175032.jpg 0.057942 0.0614392 0.0724275 0.0711902 0.749129 
175043.jpg -0.163284 -0.162671 0.0902295 -0.162918 0.808245 
175083.jpg 0.0451872 0.0452872 0.0279207 -0.0835949 0.522049 
176019.jpg 0.0912966 0.0892757 0.0359562 -0.0110134 0.490053 
176035.jpg 0.276834 0.22541 -0.297045 0.326755 0.914196 
176039.jpg 0.303804 -0.290311 0.184932 0.193353 0.631994 
176051.jpg 0.19078 0.176487 0.208637 0.269325 0.825906 
178054.jpg 0.453907 0.451415 0.226054 0.453983 0.814185 
179084.jpg 0.182217 -0.342697 0.107754 0.346475 0.47479 
181018.jpg -0.0580208 -0.304676 0.300643 0.280543 0.629458 
181021.jpg -0.228919 -0.223545 0.231583 -0.229663 0.573222 
181079.jpg 0.001112 0.00120717 -0.00365627 0.00262285 0.571098 
181091.jpg 0.167997 0.100338 -0.113091 0.223915 0.740067 
182053.jpg 0.31874 0.312778 0.320463 0.320151 0.74257 
183055.jpg -0.116812 -0.116806 0.115348 -0.116505 0.946055 
183066.jpg 0.107052 -0.288262 0.336122 0.29523 0.570173 
183087.jpg -0.092553 -0.0811455 -0.11703 -0.0951541 0.702767 
185092.jpg 0.0390882 0.0428192 -0.0463283 0.0215066 0.641609 
187003.jpg -0.16758 -0.150448 -0.165683 -0.173584 0.889273 
187029.jpg 0.258387 0.265231 -0.144713 0.269961 0.862946 
